,zona,fecha,Freq
304,Central,2019-04,478353
305,Central,2019-05,483045
306,Central,2019-06,473425
307,Central,2019-07,486450
308,Central,2019-08,493157
309,Central,2019-09,496197
310,Central,2019-10,482767
311,Central,2019-11,467739
312,Central,2019-12,489006
313,Central,2020-01,484600
314,Central,2020-02,419954
315,Central,2020-03,443665
316,Central,2020-04,480448
317,Central,2020-05,462647
318,Central,2020-06,409886
319,Central,2020-07,480452
320,Central,2020-08,487174
321,Central,2020-09,492426
322,Central,2020-10,489864
323,Central,2020-11,497212
324,Central,2020-12,511488
325,Central,2021-01,491603
326,Central,2021-02,471683
327,Central,2021-03,469916
328,Central,2021-04,461057
329,Central,2021-05,494072
330,Central,2021-06,521688
331,Central,2021-07,530958
332,Central,2021-08,519358
333,Central,2021-09,500448
334,Central,2021-10,466498
335,Central,2021-11,501664
336,Central,2021-12,481112
337,Centro,2018-01,186730
338,Centro,2018-02,170197
339,Centro,2018-03,196126
340,Centro,2018-04,186960
341,Centro,2018-05,195334
342,Centro,2018-06,200440
343,Centro,2018-07,194982
344,Centro,2018-08,196744
345,Centro,2018-09,199363
346,Centro,2018-10,183277
347,Centro,2018-11,182453
348,Centro,2018-12,188878
349,Centro,2019-01,166978
350,Centro,2019-02,167310
351,Centro,2019-03,171362
352,Centro,2019-04,191587
353,Centro,2019-05,190654
354,Centro,2019-06,182059
355,Centro,2019-07,189023
356,Centro,2019-08,196731
357,Centro,2019-09,189760
358,Centro,2019-10,182939
359,Centro,2019-11,184791
360,Centro,2019-12,185784
361,Centro,2020-01,175993
362,Centro,2020-02,181931
363,Centro,2020-03,182533
364,Centro,2020-04,181359
365,Centro,2020-05,149908
366,Centro,2020-06,85300
367,Centro,2020-07,161173
368,Centro,2020-08,177294
369,Centro,2020-09,180940
370,Centro,2020-10,178332
371,Centro,2020-11,183051
372,Centro,2020-12,187351
373,Centro,2021-01,176319
374,Centro,2021-02,171167
375,Centro,2021-03,170441
376,Centro,2021-04,174304
377,Centro,2021-05,189463
378,Centro,2021-06,196129
379,Centro,2021-07,195938
380,Centro,2021-08,194098
381,Centro,2021-09,185875
382,Centro,2021-10,170034
383,Centro,2021-11,184682
384,Centro,2021-12,189943
385,Cerritos,2018-01,82883
386,Cerritos,2018-02,72347
387,Cerritos,2018-03,84995
388,Cerritos,2018-04,79576
389,Cerritos,2018-05,93751
390,Cerritos,2018-06,93062
391,Cerritos,2018-07,87998
392,Cerritos,2018-08,93986
393,Cerritos,2018-09,90726
394,Cerritos,2018-10,67242
395,Cerritos,2018-11,70047
396,Cerritos,2018-12,86300
397,Cerritos,2019-01,80494
398,Cerritos,2019-02,88181
399,Cerritos,2019-03,84380
400,Cerritos,2019-04,95281
401,Cerritos,2019-05,96043
402,Cerritos,2019-06,89689
403,Cerritos,2019-07,92063
404,Cerritos,2019-08,86916
405,Cerritos,2019-09,83871
406,Cerritos,2019-10,84832
407,Cerritos,2019-11,78680
408,Cerritos,2019-12,91815
409,Cerritos,2020-01,86917
410,Cerritos,2020-02,102708
411,Cerritos,2020-03,93818
412,Cerritos,2020-04,102738
413,Cerritos,2020-05,92923
414,Cerritos,2020-06,94836
415,Cerritos,2020-07,101644
416,Cerritos,2020-08,88651
417,Cerritos,2020-09,86954
418,Cerritos,2020-10,87733
419,Cerritos,2020-11,90263
420,Cerritos,2020-12,102391
421,Cerritos,2021-01,101835
422,Cerritos,2021-02,102310
423,Cerritos,2021-03,103522
424,Cerritos,2021-04,107623
425,Cerritos,2021-05,118704
426,Cerritos,2021-06,127305
427,Cerritos,2021-07,135428
428,Cerritos,2021-08,115008
429,Cerritos,2021-09,122328
430,Cerritos,2021-10,87283
431,Cerritos,2021-11,114400
432,Cerritos,2021-12,104403
433,Dorada,2018-01,121230
434,Dorada,2018-02,113514
435,Dorada,2018-03,120046
436,Dorada,2018-04,118533
437,Dorada,2018-05,133958
438,Dorada,2018-06,128724
439,Dorada,2018-07,130066
440,Dorada,2018-08,148908
441,Dorada,2018-09,139675
442,Dorada,2018-10,111093
443,Dorada,2018-11,115756
444,Dorada,2018-12,122536
445,Dorada,2019-01,118268
446,Dorada,2019-02,119511
447,Dorada,2019-03,111144
448,Dorada,2019-04,125336
449,Dorada,2019-05,130591
450,Dorada,2019-06,122343
451,Dorada,2019-07,130908
452,Dorada,2019-08,150673
453,Dorada,2019-09,133179
454,Dorada,2019-10,119401
455,Dorada,2019-11,118978
456,Dorada,2019-12,123650
457,Dorada,2020-01,119827
458,Dorada,2020-02,124741
459,Dorada,2020-03,119197
460,Dorada,2020-04,113669
461,Dorada,2020-05,67974
462,Dorada,2020-06,66696
463,Dorada,2020-07,71330
464,Dorada,2020-08,99556
465,Dorada,2020-09,113722
