"","Wcol","Anio","consumo","mes"
"342","FRACC. BOSQUES DEL ARROYO",2021,"2301","enero"
"343","FRACC. BOSQUES DEL ARROYO",2018,"2132","enero"
"344","FRACC. BOSQUES DEL ARROYO",2020,"1929","enero"
"345","FRACC. BOSQUES DEL RIO",2018,"96","enero"
"346","FRACC. BOSQUES DEL RIO",2020,"134","enero"
"347","FRACC. BOSQUES DEL RIO",2021,"84","enero"
"348","FRACC. BOSQUES DEL RIO",2019,"128","enero"
"349","FRACC. BRISAS DEL MAR",2018,"5898","enero"
"350","FRACC. BRISAS DEL MAR",2020,"5158","enero"
"351","FRACC. BRISAS DEL MAR",2019,"5283","enero"
"352","FRACC. BRISAS DEL MAR",2021,"5723","enero"
"353","FRACC. BRISAS DEL VALLE II",2021,"1463","enero"
"354","FRACC. BRISAS DEL VALLE II",2018,"1275","enero"
"355","FRACC. BRISAS DEL VALLE II",2019,"1255","enero"
"356","FRACC. BRISAS DEL VALLE II",2020,"1408","enero"
"357","FRACC. BUGAMBILIAS LA ESPER.",2019,"7511","enero"
"358","FRACC. BUGAMBILIAS LA ESPER.",2021,"8357","enero"
"359","FRACC. BUGAMBILIAS LA ESPER.",2018,"7481","enero"
"360","FRACC. BUGAMBILIAS LA ESPER.",2020,"7490","enero"
"361","FRACC. CAMPO BELLO",2019,"1311","enero"
"362","FRACC. CAMPO BELLO",2018,"1658","enero"
"363","FRACC. CAMPO BELLO",2021,"1469","enero"
"364","FRACC. CAMPO BELLO",2020,"1428","enero"
"365","FRACC. CASA BLANCA",2021,"761","enero"
"366","FRACC. CASA BLANCA",2020,"5388","enero"
"367","FRACC. CASA BLANCA",2018,"5231","enero"
"368","FRACC. CASA BLANCA",2019,"4619","enero"
"369","FRACC. CASTILLA DE LEON-EL CID",2019,"2343","enero"
"370","FRACC. CASTILLA DE LEON-EL CID",2021,"1452","enero"
"371","FRACC. CASTILLA DE LEON-EL CID",2020,"1241","enero"
"372","FRACC. CASTILLA DE LEON-EL CID",2018,"2268","enero"
"373","FRACC. CERRITOS RESORT",2018,"2667","enero"
"374","FRACC. CERRITOS RESORT",2021,"3726","enero"
"375","FRACC. CERRITOS RESORT",2020,"3630","enero"
"376","FRACC. CERRITOS RESORT",2019,"2935","enero"
"377","FRACC. CLUB PALMAS",2021,"737","enero"
"378","FRACC. CLUB PALMAS",2018,"856","enero"
"379","FRACC. CLUB PALMAS",2019,"569","enero"
"380","FRACC. CLUB PALMAS",2020,"557","enero"
"381","FRACC. CLUB REAL",2018,"9937","enero"
"382","FRACC. CLUB REAL",2020,"8962","enero"
"383","FRACC. CLUB REAL",2019,"8980","enero"
"384","FRACC. CLUB REAL",2021,"11669","enero"
"385","FRACC. CLUB RINCON CAMPESTRE",2021,"141","enero"
"386","FRACC. CLUB RINCON CAMPESTRE",2019,"38","enero"
"387","FRACC. CLUB RINCON CAMPESTRE",2018,"20","enero"
"388","FRACC. CLUB RINCON CAMPESTRE",2020,"52","enero"
"389","FRACC. COLINAS DEL REAL",2021,"3462","enero"
"390","FRACC. COLINAS DEL REAL",2018,"3427","enero"
"391","FRACC. COLINAS DEL REAL",2019,"3495","enero"
"392","FRACC. COLINAS DEL REAL",2020,"3382","enero"
"393","FRACC. COLINAS DEL REAL PLUS",2020,"3363","enero"
"394","FRACC. COLINAS DEL REAL PLUS",2019,"3344","enero"
"395","FRACC. COLINAS DEL REAL PLUS",2021,"3866","enero"
"396","FRACC. COLINAS DEL REAL PLUS",2018,"3252","enero"
"397","FRACC. COLINAS DEL VALLE",2020,"1327","enero"
"398","FRACC. COLINAS DEL VALLE",2021,"1211","enero"
"399","FRACC. COLINAS DEL VALLE",2019,"1212","enero"
"400","FRACC. COLINAS DEL VALLE",2018,"0","enero"
"401","FRACC. COSTA AZUL (SAUCE)",2021,"6997","enero"
"402","FRACC. COSTA AZUL (SAUCE)",2019,"6423","enero"
"403","FRACC. COSTA AZUL (SAUCE)",2020,"6538","enero"
"404","FRACC. COSTA AZUL (SAUCE)",2018,"6917","enero"
